Species,OtherName,Foodname
Acanthurus albipectoralis,Whitefin Surgeonfish/Whitefin surgeonfish,
Acanthurus auranticavus,Orange-socket Surgeonfish/Ring-tail Surgeon/Orange-socket surgeonfish,
Acanthurus bahianus,Barber surgeonfish/Ocean surgeon/Ocean surgeonfish/ocean surgeon/ barbero/ cirujano pardo/Barber,
Acanthurus bariene,Roundspot Surgeonfish/Bariene Surgeonfish/Black-spot Surgeonfish/Eye-spot Surgeon/pencilled surgeonfish/pencilled surgeonfish,
Acanthurus blochii,Ringtail surgeonfish/Dark surgeonfish/ringtail surgeonfish/ whitetail surgeonfish/ringtail surgeonfish,
Acanthurus chirurgus,Doctorfish/Dotorfish tang/doctorfish/ barbero rayado/ cirujano rayado/ Doctorfish/Black Doctorfish,
Acanthurus chronixis,Kapingamarangi Surgeonfish/Chronixis Surgeonfish/Mimic Surgeonfish/Chronixis surgeonfish,
Acanthurus coeruleus,Blue tang surgeonfish/Blue tang/Blue barber/Blue doctor/Blue doctorfish/Blur tang/Yellow barber/Yellow doctorfish/blue tang/ barbero azul/ Blue Tang/ cirujano azul/Blue Barber,
Acanthurus dussumieri,Eyestripe Surgeonfish/Dussumier's Surgeonfish/Hawaiian Surgeonfish/Ornate Surgeonfish/Palani/Penciled Surgeonfish/Pencilled Surgeon/Pencilled Surgeonfish/Black-spot surgeonfish,
Acanthurus fowleri,Horseshoe Surgeonfish/Fowler's Surgeonfish/Fowler's surgeon/Fowler's surgeon,
Acanthurus gahhm,Black surgeonfish/Monk surgeonfish/Lined surgeonfish/dusky surgeonfish/dusky surgeonfish,
Acanthurus grammoptilus,Finelined Surgeonfish/Ring-tailed Surgeonfish/Finelined surgeonfish,
Acanthurus guttatus,Whitespotted Surgeonfish/Mustard Surgeonfish/Mustard Tang/Spotband Surgeonfish/Spotted Surgeonfish/Spotted Tang/Mustard surgeonfish,
Acanthurus japonicus,Japanese Surgeonfish/Powder Black Surgeon/White-nose Surgeonfish/Japan surgeonfish,
Acanthurus leucocheilus,Palelipped Surgeonfish/White-spine Surgeon/Pale lipped surgeonfish,
Acanthurus leucopareius,Whitebar Surgeonfish/Head-band Surgeonfish/whitethroated surgeonfish/whitethroated surgeonfish,
Acanthurus leucosternon,Powder Blue Surgeonfish/Blue Surgeonfish/Powderblue Surgeonfish/Powder-blue Tang/Powder Blue Tang/Blue surgeonfish,
Acanthurus lineatus,Lined surgeonfish/Blue banded surgeonfish/Blue-line surgeonfish/Clown surgeonfish/Pyjama tang/Striped surgeonfish/Zebra surgeonfish/lined surgeonfish/lined surgeonfish,
Acanthurus maculiceps,Spotted-face Surgeonfish/Earbar Surgeonfish/Pale-lined Surgeonfish/White-freckled Surgeonfish/Yellow-freckled Surgeonfish/Earbar surgeonfish,
Acanthurus mata,Elongate surgeonfish/Pale surgeonfish/Blue-lined surgeonfish/Mata surgeonfish/Striped surgeonfish/Tailring surgeon/White-tail lancet/Yellowmask surgeonfish/tailring surgeon/tailring surgeon,
Acanthurus monroviae,Monrovia Surgeonfish/surgeonfish/surgeonfish,
Acanthurus nigricans,Golden Rim Surgeonfish/Blackear Surgeonfish/Black Surgeonfish/Gold-rim Tang/Gray Surgeonfish/Velvet Surgeonfish/White-cheeked surgeonfish/Whiteface Surgeonfish/Whitetail Surgeonfish/Yellowrimmed Surgeonfish/Yellow Spotted Surgeonfish/whitecheek surgeonfish/ goldrim surgeonfish/ cirujano cariblanco/ Goldrim Surgeonfish/Goldrim Surgeonfish,
Acanthurus nigricauda,Blackstreak Surgeonfish/Black-barred Surgeonfish/Epaulette Surgeonfish/Shoulderbar Surgeonfish/White-tail Surgeonfish/Black surgeonfish,
Acanthurus nigrofuscus,Brown surgeonfish/Brown tang/Blackspot surgeonfish/Dusky surgeonfish/Lavender tang/Spot-checked surgeonfish/Blackspot surgeonfish,
Acanthurus nigroris,Bluelined Surgeonfish/Bluelined surgeonfish,
Acanthurus nubilus,Dropoff Surgeonfish/Bluelined Surgeonfish/Pin-striped Surgeon/Bluelined surgeon,
Acanthurus olivaceus,Orangespot surgeonfish/Orange-band surgeonfish/Orange-shoulder surgeonfish/Orangebar tang/orangespot tang/orangespot tang,
Acanthurus pyroferus,Mimic Surgeonfish/Chocolate Surgeonfish/Orange-gilled Surgeonfish/Pacific Mimic Surgeon/Yellowspot Surgeon/yellowspot surgeonfish/yellowspot surgeonfish,
Acanthurus reversus,Marquesan Surgeonfish/Marquesan Surgeonfish,
Acanthurus sohal,Sohal surgeonfish/Sohal tang/Red Sea clown surgeon,
Acanthurus tennentii,Doubleband Surgeonfish/Lieutenant Surgeonfish/Doubleband surgeonfish,
Acanthurus thompsoni,Thompson's Surgeonfish/Chocolate Surgeonfish/Night Surgeonfish/Thompson's Tang/Whitetail Surgeonfish/Chocolate surgeon,
Acanthurus tristis,Indian Ocean Mimic Surgeonfish/Blackcheek Surgeonfish/Yellowspot Surgeonfish/Blackcheek surgeonfish,
Acanthurus xanthopterus,Yellowfin Surgeonfish/Cuvier's Surgeonfish/Purple Surgeonfish/Ring-tailed Surgeonfish/Yellow-mask Surgeon/yellowfin surgeonfish/ cirujano aleta amarilla/ Yellowfin Surgeonfish/Yellowfin Surgeonfish,
Acanthus ebracteatus,/acanthus/acanthus,
Acantopsis dialuzona,Horse-faced Loach/Banana fish,
Acantopsis multistigmatus,/,
Acantopsis thiemmedhi,Thiemmedh's Horsefaced Loach/Thiemmedh's Horsefaced Loach,
Accipiter badius,Shikra/Shikra/Shikra,
Accipiter gularis,Japanese Sparrowhawk/Asiatic Sparrowhawk/ Japanese Sparrowhawk/Japanese Sparrowhawk,
Accipiter soloensis,Chinese Sparrowhawk/Chinese Sparrowhawk/ Gray Frog-Hawk/ Épervier de Horsfield/Chinese Sparrowhawk,
Accipiter virgatus,Besra/Besra/Besra,
Acentrogobius janthinopterus,Mangrove Goby/Green-spotted Goby/Pupilspot Goby/Robust/pupilspot goby/pupilspot goby,
Acer grandidentatum,Bigtooth Maple/sugar maple/ canyon maple/ Uvalde big-tooth maple/ bigtooth maple/canyon maple,
Acer macrophyllum,Bigleaf Maple/Oregon Maple/bigleaf maple/Big-Leaf Maple,
Acer negundo,Boxelder/ashleaf maple/ boxelder/ boxelder maple/ California boxelder/ Manitoba maple/ western boxelder/ box elder/ ash-leaf maple/ three-leaf maple/Ashleaf Maple,
Acer nigrum,Black Maple/sugar maple/ black sugar maple/ hard maple/ rock maple/ érable noir/ black maple/Black Maple,
Acer pensylvanicum,/moosewood/ striped maple/Goosefoot,
Acer pseudoplatanus,/sycamore/ sycamore maple/Sycamore,
Acer saccharinum,Silver Maple/silver maple/Silver Maple,
Acer saccharum,Sugar Maple/sugar maple/sugar maple,
Acer skutchii,/,
Acer spicatum,/moose maple/ mountain maple/Moose Maple,
Acer wilsonii,/,
Acerodon celebensis,Sulawesi Fruit Bat/Sulawesi Acerodon/Sulawesi Flying-fox/Sulawesi Flying Fox/Sulawesi Fruit Bat/ Sulawesi Flying Fox/Sulawesi Flying Fox,
Acerodon humilis,Talaud Fruit Bat/Talaud Acerodon/Talaud Flying-fox/Talaud Flying Fox/Talaud Fruit Bat/ Talaud Flying Fox/Talaud Flying Fox,
Acerodon jubatus,Golden-capped Fruit Bat/Golden-crowned Flying Fox/Golden-capped Fruit Bat/ Golden-capped Flying Fox/Golden-capped Flying Fox,
Acerodon leucotis,Palawan Fruit Bat/Palawan Flying Fox/Palawan Fruit Bat/ Palawan Flying Fox/Palawan Flying Fox,
Aceros nipalensis,Rufous-necked Hornbill/Rufous-cheeked Hornbill/Rufous-necked Hornbill/ calau-de-pescoço-ruivo/ Cálao del Nepal/ Calao à cou roux/Rufous-necked Hornbill,
Acetes erythraeus,Tsivakihini paste shrimp/tsivakihini paste shrimp/tsivakihini paste shrimp,
Acetes indicus,Jawla paste shrimp/jawla paste shrimp/jawla paste shrimp,
Acetes japonicus,Akiami paste shrimp/akiami paste shrimp/akiami paste shrimp,
Achatocarpus oaxacanus,/,
Acheilognathus barbatulus,Kinesisk Bitterling/China-Bitterling/Kinesisk Bitterling,
Acheilognathus deignani,/,
Acheilognathus elongatoides,/,
Acheilognathus macropterus,/,
Acheilognathus meridianus,/,
Acheilognathus tonkinensis,/,
Acheta domestica,House cricket/Acheta domesticus/,
Achillea ptarmica,Sneezewort/Sneezeweed/sneezeweed/Sneezeweed,
Achirus achirus,Drab Sole/Drab Sole,
Achirus klunzingeri,Brown Sole/brown sole/ suela plomiza/ Brown Sole/Brown Sole,
Achirus lineatus,Lined Sole/lined sole/ acedía rayada/ suela listada/ Lined Sole/Lined Sole,
Achirus mazatlanus,Mazatlan sole/Mexican sole/ Pacific lined sole/ tepalcate/ Pacific Lined Sole/Mexican sole,
Achirus scutum,Network sole/comal/ network sole/ Network Sole/Network Sole,
Achoerodus gouldii,Western Blue Groper/Gould's Wrasse/Western Blue Wrasse/giant pigfish/giant pigfish,
Achoerodus viridis,Eastern Blue Groper/Brown Groper/Eastern Blue Wrasse/Giant Pig Fish/Red Groper/Blue groper,
Acioa dolichopoda,/,
Acioa edulis,/,
Acioa longipendula,/,
Acipenser baerii,Siberian sturgeon/Siberian sturgeon/Siberian sturgeon,
Acipenser brevirostrum,Shortnose Sturgeon/shortnose sturgeon/shortnose sturgeon,
Acipenser fulvescens,Lake Sturgeon/lake sturgeon/ esturgeon jaune/lake sturgeon,
Acipenser gueldenstaedtii,Danube sturgeon/Russian sturgeon/Diamond sturgeon/Russian sturgeon/Danube sturgeon,
Acipenser medirostris,Green sturgeon/green sturgeon/ esturión verde/Barbel sturgeon,
Acipenser naccarii,Adriatic sturgeon/Adriatic sturgeon/Adriatic sturgeon,
Acipenser nudiventris,Fringebarbel sturgeon/Bastard sturgeon/Ship sturgeon/Spiny sturgeon/Thorn sturgeon/ship sturgeon/ spiny sturgeon/ thorn sturgeon/Barbel sturgeon,
Acipenser oxyrinchus,Atlantic Sturgeon/Gulf Sturgeon/Gulf sturgeon/ Atlantic sturgeon/ esturgeon noir/ esturión del Atlántico/Atlantic sturgeon,
Acipenser persicus,Persian Sturgeon/Persian sturgeon,
Acipenser ruthenus,Sterlet sturgeon/sterlet/Sterlet,
Acipenser stellatus,Starry sturgeon/Stellate sturgeon/Sevruga/star sturgeon/ sevruga/ stellate sturgeon/Sevruga,
Acipenser sturio,Sturgeon/European sea sturgeon/Atlantic sturgeon/Common sturgeon/Baltic sturgeon/ European sturgeon/Atlantic Sturgeon,
Acipenser transmontanus,White sturgeon/white sturgeon/ esturión blanco/White sturgeon,
Acmanthera latifolia,/,
Acmella uliginosa,/,
Acnodon oligacanthus,Sheep Pacu/Sheep Pacu,
Acokanthera rotundata,Round-leaved Poison-bush/Round-leaved Poison-bush,
Acorus calamus,Calamus/Sweet flag/calamus/Sweet-flag,
Acostaea rivolii,/,
Acrantophis dumerili,Dumeril's Boa/Madagascar Ground Boa/Dumeril's boa,
